Country;Temperature
Afghanistan;11,99
Albania;11,9
Algeria;22,68
American Samoa;26,63
Andorra;11,7
Angola;21,2
Antigua and Barbuda;26,25
Argentina;14,05
Armenia;7,51
Aruba;27,46
Australia;21,2
Austria;4,5
Azerbaijan;10,35
Bahamas;24,18
Bahrain;24,93
Bangladesh;22,29
Barbados;26,38
Belarus;3,14
Belgium;8,38
Belize;24,32
Benin;27,25
Bhutan;10,15
Bolivia;20,2
Bosnia and Herzegovina;8,76
Botswana;20,72
Brazil;24,48
Bulgaria;9,08
Burkina Faso;28,3
Burundi;20,24
Cambodia;26,17
Cameroon;24,72
Canada;21,77
Cape Verde;24,22
Cayman Islands;25,68
Central African Republic;24,92
Chad;25,45
Chile;9,35
China;4,66
Colombia;25,07
Comoros;25,58
Congo;24,46
Costa Rica;25,93
Croatia;9,85
Cuba;24,16
Cyprus;18,41
Czech Republic;5,24
Denmark;18,77
Djibouti;29,1
Dominica;25,92
Dominican Republic;25,22
Ecuador;22,06
Egypt;21,77
El Salvador;24,6
Equatorial Guinea;24,71
Eritrea;26,52
Estonia;2,89
Ethiopia;23,14
Faroe Islands;6,15
Fiji;24,59
Finland;-1,04
France;12,63
French Polynesia;25,65
Gabon;23,99
Gambia;26,65
Georgia;7,19
Germany;6,52
Ghana;26,71
Greece;14,83
Greenland;-18,66
Grenada;26,66
Guam;26,81
Guatemala;22,45
Guinea;25,3
Guinea Bissau;26,05
Guyana;25,87
Haiti;26,02
Honduras;24,15
Hong Kong;20,65
Hungary;7,56
Iceland;0,94
India;22,86
Indonesia;25,61
Iran;15,82
Iraq;20,62
Ireland;9,18
Isle of Man;8,84
Israel;18,82
Italy;12,45
Ivory Coast;26,39
Jamaica;25,45
Japan;12,19
Jordan;18,39
Kazakhstan;0,98
Kenya;24,23
Kiribati;26,44
Kuwait;23,46
Kyrgyzstan;0,06
Laos;22,4
Latvia;3,25
Lebanon;17
Lesotho;13,01
Liberia;25,41
Libya;21,23
Liechtenstein;3,22
Lithuania;3,31
Luxembourg;7,99
Macau;20,27
Macedonia;9,25
Madagascar;22,43
Malawi;21
Malaysia;25,9
Maldives;27,81
Mali;27,22
Malta;18,74
Marshall Islands;27,83
Mauritania;26,22
Mauritius;23,49
Mayotte;26,29
Mexico;19,5
Micronesia;27,08
Moldova;6,23
Monaco;8,84
Mongolia;-3,36
Montenegro;8,86
Morocco;18,02
Mozambique;23,01
Myanmar;21,89
Namibia;19,84
Nepal;13,06
Netherlands;8,27
New Caledonia;23,16
New Zealand;10,52
Nicaragua;25,74
Niger;25,63
Nigeria;27,07
North Korea;4,78
Northern Mariana Islands;26,81
Norway;-0,1
Oman;26,33
Pakistan;18,59
Palau;27,05
Palestine;18,87
Panama;26,57
Papua New Guinea;23,86
Paraguay;21,76
Peru;20,02
Philippines;26,07
Poland;4,7
Portugal;15,02
Puerto Rico;25,22
Qatar;25,75
Republic of the Congo;24,64
Romania;6,55
Russia;-6,85
Rwanda;19,27
Samoa;26,32
San Marino;13,5
Sao Tome and Principe;25,54
Saudi Arabia;24,63
Senegal;27,21
Serbia;8,01
Seychelles;26,1
Sierra Leone;25,75
Singapore;26,46
Slovakia;5,25
Slovenia;8,44
Solomon Islands;26,24
Somalia;26,66
South Africa;16,59
South Korea;10,92
Spain;13,88
Sri Lanka;26,45
St Kitts and Nevis;24,53
St Lucia;25,61
St Vincent and the Grenadines;26,75
Sudan;22,94
Suriname;26
Swaziland;18,12
Sweden;0,66
Switzerland;6,14
Syria;17,21
Taiwan;20,77
Tajikistan;1,45
Tanzania;22,11
Thailand;25,27
Togo;26,82
Tonga;23,35
Trinidad and Tobago;25,91
Tunisia;20,07
Turkey;10,88
Turkmenistan;11,85
Uganda;23,77
Ukraine;4,79
United Arab Emirates;26,75
United Kingdom;7,91
United States;7,72
Uruguay;17,02
Uzbekistan;9,03
Vanuatu;23,41
Venezuela;25,3
Vietnam;22,56
Virgin Islands;26,14
Yemen;25,61
Zambia;20,9
Zimbabwe;20,34
